TARIH_DATE,GUN_TIPI,MEVSIM,CALISMA_DURUMU,AY_ADI,GUN_BILGISI,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,KAZA_SAYISI
2022-03-20,Hafta Sonu,İlkbahar,Tatil Günü,March,Sunday,7.0,13.0,11.0,4.0,14.0,12.0,3.0,9.0,6.0,7.0,11.0,10.0,4.0,3.0,9.0,12.0,13.0,10.0,16.0,5.0,8.0,5
2022-03-21,Hafta İçi,İlkbahar,İş Günü,March,Monday,5.0,7.0,13.0,11.0,4.0,14.0,12.0,3.0,9.0,6.0,7.0,11.0,10.0,4.0,3.0,9.0,12.0,13.0,10.0,16.0,5.0,13
2022-03-22,Hafta İçi,İlkbahar,İş Günü,March,Tuesday,13.0,5.0,7.0,13.0,11.0,4.0,14.0,12.0,3.0,9.0,6.0,7.0,11.0,10.0,4.0,3.0,9.0,12.0,13.0,10.0,16.0,12
2022-03-23,Hafta İçi,İlkbahar,İş Günü,March,Wednesday,12.0,13.0,5.0,7.0,13.0,11.0,4.0,14.0,12.0,3.0,9.0,6.0,7.0,11.0,10.0,4.0,3.0,9.0,12.0,13.0,10.0,10
2022-03-24,Hafta İçi,İlkbahar,İş Günü,March,Thursday,10.0,12.0,13.0,5.0,7.0,13.0,11.0,4.0,14.0,12.0,3.0,9.0,6.0,7.0,11.0,10.0,4.0,3.0,9.0,12.0,13.0,8
2022-03-25,Hafta İçi,İlkbahar,İş Günü,March,Friday,8.0,10.0,12.0,13.0,5.0,7.0,13.0,11.0,4.0,14.0,12.0,3.0,9.0,6.0,7.0,11.0,10.0,4.0,3.0,9.0,12.0,11
2022-03-26,Hafta Sonu,İlkbahar,Tatil Günü,March,Saturday,11.0,8.0,10.0,12.0,13.0,5.0,7.0,13.0,11.0,4.0,14.0,12.0,3.0,9.0,6.0,7.0,11.0,10.0,4.0,3.0,9.0,15
2022-03-27,Hafta Sonu,İlkbahar,Tatil Günü,March,Sunday,15.0,11.0,8.0,10.0,12.0,13.0,5.0,7.0,13.0,11.0,4.0,14.0,12.0,3.0,9.0,6.0,7.0,11.0,10.0,4.0,3.0,4
2022-03-28,Hafta İçi,İlkbahar,İş Günü,March,Monday,4.0,15.0,11.0,8.0,10.0,12.0,13.0,5.0,7.0,13.0,11.0,4.0,14.0,12.0,3.0,9.0,6.0,7.0,11.0,10.0,4.0,13
2022-03-29,Hafta İçi,İlkbahar,İş Günü,March,Tuesday,13.0,4.0,15.0,11.0,8.0,10.0,12.0,13.0,5.0,7.0,13.0,11.0,4.0,14.0,12.0,3.0,9.0,6.0,7.0,11.0,10.0,5
2022-03-30,Hafta İçi,İlkbahar,İş Günü,March,Wednesday,5.0,13.0,4.0,15.0,11.0,8.0,10.0,12.0,13.0,5.0,7.0,13.0,11.0,4.0,14.0,12.0,3.0,9.0,6.0,7.0,11.0,12
2022-03-31,Hafta İçi,İlkbahar,İş Günü,March,Thursday,12.0,5.0,13.0,4.0,15.0,11.0,8.0,10.0,12.0,13.0,5.0,7.0,13.0,11.0,4.0,14.0,12.0,3.0,9.0,6.0,7.0,9
2022-04-01,Hafta İçi,İlkbahar,İş Günü,April,Friday,9.0,12.0,5.0,13.0,4.0,15.0,11.0,8.0,10.0,12.0,13.0,5.0,7.0,13.0,11.0,4.0,14.0,12.0,3.0,9.0,6.0,15
2022-04-02,Hafta Sonu,İlkbahar,Tatil Günü,April,Saturday,15.0,9.0,12.0,5.0,13.0,4.0,15.0,11.0,8.0,10.0,12.0,13.0,5.0,7.0,13.0,11.0,4.0,14.0,12.0,3.0,9.0,2
