District,Frequency,Model_Type,Params,MAE,MAPE,Improvement_Pct
ÇİĞLİ,Monthly,AR,"Order=(2, 0, 0), Seas=(0, 0, 0, 0)",2.6451341523659644,76.4885784263066,-21.15118255111286
ÇİĞLİ,Monthly,MA,"Order=(0, 0, 2), Seas=(0, 0, 0, 0)",3.8555453441352845,78.14797795781028,-76.58986309016568
ÇİĞLİ,Monthly,ARMA,"Order=(1, 0, 1), Seas=(0, 0, 0, 0)",1.7707336341150646,48.15219307532459,18.897696147401632
ÇİĞLİ,Monthly,ARIMA,"Order=(0, 1, 1), Seas=(0, 0, 0, 0)",1.8333333333333333,54.486158253413485,16.03053435114505
ÇİĞLİ,Monthly,SARIMA,"Order=(1, 1, 0), Seas=(1, 0, 0, 12)",3.366685688987561,98.21695233085391,-54.199344533781414
ÇİĞLİ,Monthly,ExpSmoothing,"{'trend': None, 'seasonal': None}",1.8333333333333333,54.49486645944349,16.03053435114505
KARŞIYAKA,Monthly,Baseline,Mean,8.758333333333333,91.09640822140823,0.0
KARŞIYAKA,Monthly,AR,"Order=(2, 0, 0), Seas=(0, 0, 0, 0)",4.50228626936357,47.02269567524527,48.5942576285796
KARŞIYAKA,Monthly,MA,"Order=(0, 0, 2), Seas=(0, 0, 0, 0)",10.529894810668006,86.89794948099156,-20.22715292865469
KARŞIYAKA,Monthly,ARMA,"Order=(1, 0, 1), Seas=(0, 0, 0, 0)",4.695855177758004,46.40890742467239,46.384146400479494
KARŞIYAKA,Monthly,ARIMA,"Order=(0, 1, 1), Seas=(0, 0, 0, 0)",5.672586919670043,59.10369077760128,35.23211890005659
KARŞIYAKA,Monthly,SARIMA,"Order=(1, 1, 1), Seas=(0, 1, 0, 12)",2.888139063938315,25.263941000778896,67.02410202924854
KARŞIYAKA,Monthly,ExpSmoothing,"{'trend': None, 'seasonal': 'add', 'seasonal_periods': 12}",4.548242945878955,46.47843442575634,48.06953820119176
BORNOVA,Monthly,Baseline,Mean,16.158333333333335,95.75487184206814,0.0
